     addr         pfn  soft-dirty    file/shared    swapped     present
0x71be09a8c000    : 3dbaef     1          1          0          1         
0x71be09a8d000    : 3dbaee     1          1          0          1         
0x71be09a8e000    : 3dba93     1          1          0          1         
0x71be09a8f000    : 3dba92     1          1          0          1         
0x71be09a90000    : 3dba8f     1          1          0          1         
0x71be09a91000    : 3dba8e     1          1          0          1         
0x71be09a92000    : 3dba63     1          1          0          1         
0x71be09a93000    : 3dba62     1          1          0          1         
0x71be09a94000    : 3dbbed     1          1          0          1         
0x71be09a95000    : 3dbbec     1          1          0          1         
0x71be09a96000    : 3dbaeb     1          1          0          1         
0x71be09a97000    : 3dbacf     1          1          0          1         
0x71be09a98000    : 3b3a9b     1          1          0          1         
0x71be09a99000    : 3b3a9a     1          1          0          1         
0x71be09a9a000    : 3b3a8d     1          1          0          1         
0x71be09a9b000    : 3b3a8c     1          1          0          1         
0x71be09a9c000    : 3b3a49     1          1          0          1         
0x71be09a9d000    : 3b3a48     1          1          0          1         
0x71be09a9e000    : 3b3a25     1          1          0          1         
0x71be09a9f000    : 3b3a24     1          1          0          1         
0x71be09aa0000    : 3b3bc5     1          1          0          1         
0x71be09aa1000    : 3b3bc4     1          1          0          1         
0x71be09aa2000    : 3b3b60     1          1          0          1         
0x71be09aa3000    : 3b3b4e     1          1          0          1         
0x71be09aa4000    : 3e3977     1          1          0          1         
0x71be09aa5000    : 3e3976     1          1          0          1         
0x71be09aa6000    : 3e38f1     1          1          0          1         
0x71be09aa7000    : 3e38f0     1          1          0          1         
0x71be09aa8000    : 1a2e00     1          1          0          1         
0x71be09aa9000    : 1a2e01     1          1          0          1         
0x71be09aaa000    : 1a2e02     1          1          0          1         
0x71be09aab000    : 1a2e03     1          1          0          1         
0x71be09aac000    : 1a2e04     1          1          0          1         
0x71be09aad000    : 1a2e05     1          1          0          1         
0x71be09aae000    : 1a2e06     1          1          0          1         
0x71be09aaf000    : 1a2e07     1          1          0          1         
0x71be09ab0000    : 1a2e08     1          1          0          1         
0x71be09ab1000    : 1a2e09     1          1          0          1         
0x71be09ab2000    : 1a2e0a     1          1          0          1         
0x71be09ab3000    : 1a2e0b     1          1          0          1         
0x71be09ab4000    : 1a2e0c     1          1          0          1         
0x71be09ab5000    : 1a2e0d     1          1          0          1         
0x71be09ab6000    : 1a2e0e     1          1          0          1         
0x71be09ab7000    : 1a2e0f     1          1          0          1         
0x71be09ab8000    : 1a2e10     1          1          0          1         
0x71be09ab9000    : 1a2e11     1          1          0          1         
0x71be09aba000    : 1a2e12     1          1          0          1         
0x71be09abb000    : 1a2e13     1          1          0          1         
0x71be09abc000    : 1a2e14     1          1          0          1         
0x71be09abd000    : 1a2e15     1          1          0          1         
0x71be09abe000    : 1a2e16     1          1          0          1         
0x71be09abf000    : 1a2e17     1          1          0          1         
0x71be09ac0000    : 1a2e18     1          1          0          1         
0x71be09ac1000    : 1a2e19     1          1          0          1         
0x71be09ac2000    : 1a2e1a     1          1          0          1         
0x71be09ac3000    : 1a2e1b     1          1          0          1         
0x71be09ac4000    : 1a2e1c     1          1          0          1         
0x71be09ac5000    : 1a2e1d     1          1          0          1         
0x71be09ac6000    : 1a2e1e     1          1          0          1         
0x71be09ac7000    : 1a2e1f     1          1          0          1         
0x71be09ac8000    : 3748bc     1          1          0          1         
0x71be09ac9000    : 3748a1     1          1          0          1         
0x71be09aca000    : 37483f     1          1          0          1         
0x71be09acb000    : 374836     1          1          0          1         
0x71be09acc000    : 39c6a3     1          1          0          1         
0x71be09acd000    : 39c6a2     1          1          0          1         
0x71be09ace000    : 39c62b     1          1          0          1         
0x71be09acf000    : 39c62a     1          1          0          1         
0x71be09ad0000    : 39c7f0     1          1          0          1         
0x71be09ad1000    : 39c7cf     1          1          0          1         
0x71be09ad2000    : 39c7cd     1          1          0          1         
0x71be09ad3000    : 39c798     1          1          0          1         
0x71be09ad4000    : 39c787     1          1          0          1         
0x71be09ad5000    : 39c772     1          1          0          1         
0x71be09ad6000    : 39c770     1          1          0          1         
0x71be09ad7000    : 39c768     1          1          0          1         
0x71be09ad8000    : 39c765     1          1          0          1         
0x71be09ad9000    : 39c756     1          1          0          1         
0x71be09ada000    : 39c748     1          1          0          1         
0x71be09adb000    : 39c743     1          1          0          1         
0x71be09adc000    : 39c73f     1          1          0          1         
0x71be09add000    : 39c736     1          1          0          1         
0x71be09ade000    : 39c72a     1          1          0          1         
0x71be09adf000    : 39c726     1          1          0          1         
0x71be09ae0000    : 39c723     1          1          0          1         
0x71be09ae1000    : 39c71d     1          1          0          1         
0x71be09ae2000    : 39c6e8     1          1          0          1         
0x71be09ae3000    : 39c6db     1          1          0          1         
0x71be09ae4000    : 39c6a4     1          1          0          1         
0x71be09ae5000    : 39c694     1          1          0          1         
0x71be09ae6000    : 39c680     1          1          0          1         
0x71be09ae7000    : 39c67a     1          1          0          1         
